title,artist,genre,valence,energy,tempo,danceability
Weightless,Marconi Union,ambient,0.35,0.15,60,0.20
Clair de Lune,Claude Debussy,classical,0.40,0.10,66,0.15
Sunday Morning,Maroon 5,pop,0.75,0.35,88,0.55
Here Comes the Sun,The Beatles,rock,0.85,0.55,129,0.60
Good as Hell,Lizzo,pop,0.90,0.75,96,0.80
Levitating,Dua Lipa,pop,0.88,0.80,103,0.85
Blinding Lights,The Weeknd,synthpop,0.70,0.85,171,0.75
Eye of the Tiger,Survivor,rock,0.65,0.90,109,0.60
Stronger,Kanye West,hip-hop,0.55,0.92,104,0.75
Till I Collapse,Eminem,hip-hop,0.40,0.88,171,0.55
Someone Like You,Adele,pop,0.15,0.25,67,0.30
Fix You,Coldplay,rock,0.20,0.30,138,0.25
Hurt,Johnny Cash,country,0.10,0.20,79,0.20
Mad World,Gary Jules,alternative,0.08,0.15,89,0.25
Breathe Me,Sia,pop,0.12,0.18,72,0.20
Don't Stop Believin',Journey,rock,0.72,0.70,119,0.50
Uptown Funk,Bruno Mars,funk,0.92,0.85,115,0.90
Happy,Pharrell Williams,pop,0.95,0.80,160,0.85
Weightless Pt2,Various,ambient,0.30,0.10,55,0.15
Circles,Post Malone,pop,0.50,0.50,120,0.65
Someone You Loved,Lewis Capaldi,pop,0.10,0.28,110,0.30
Bohemian Rhapsody,Queen,rock,0.55,0.60,72,0.35
Sweet Dreams,Eurythmics,synthpop,0.45,0.65,124,0.70
Riptide,Vance Joy,indie,0.70,0.50,102,0.55
Ho Hey,The Lumineers,folk,0.68,0.45,74,0.45
Take Me to Church,Hozier,alternative,0.35,0.55,129,0.45
Chandelier,Sia,pop,0.45,0.75,116,0.60
Yesterday,The Beatles,rock,0.20,0.15,97,0.20
Let It Go,Idina Menzel,soundtrack,0.30,0.55,140,0.35
Titanium,David Guetta,edm,0.55,0.85,126,0.75
Firework,Katy Perry,pop,0.80,0.78,124,0.70
Radioactive,Imagine Dragons,rock,0.45,0.82,136,0.55
Africa,Toto,rock,0.75,0.60,93,0.65
Feeling Good,Nina Simone,jazz,0.60,0.45,116,0.40
Ain't No Sunshine,Bill Withers,soul,0.25,0.35,77,0.35
September,Earth Wind and Fire,funk,0.90,0.80,126,0.90
Lose Yourself,Eminem,hip-hop,0.35,0.85,86,0.55
In the End,Linkin Park,rock,0.30,0.75,105,0.45
Rolling in the Deep,Adele,pop,0.40,0.65,105,0.55
Viva la Vida,Coldplay,rock,0.65,0.68,138,0.50
Dog Days Are Over,Florence and the Machine,indie,0.65,0.72,149,0.60
Evidências,Chitãozinho & Xororó,sertanejo,0.20,0.32,68,0.30
Erro Gostoso,Israel & Rodolffo,sertanejo,0.18,0.38,90,0.45
Bloqueado,Zé Neto & Cristiano,sertanejo,0.22,0.40,95,0.42
Coração Cachorro,Gusttavo Lima,sertanejo,0.25,0.42,92,0.48
Rindo à Toa,Marília Mendonça,sertanejo,0.20,0.35,80,0.40
Você Faz Falta Aqui,Henrique & Juliano,sertanejo,0.18,0.30,75,0.35
Ai Se Eu Te Pego,Michel Teló,sertanejo,0.82,0.80,130,0.85
Livre pra Voar,Jorge & Mateus,sertanejo,0.78,0.75,125,0.78
Batida Diferente,Luan Santana,sertanejo,0.75,0.72,120,0.75
Cheia de Manias,Raça Negra,pagode,0.68,0.38,84,0.55
Trevo (Tu),Sorriso Maroto,pagode,0.72,0.55,98,0.68
Deixa Acontecer,Thiaguinho,pagode,0.80,0.70,115,0.78
Ela É do Tipo,MC Livinho,funk,0.78,0.82,130,0.90
Cheguei,Ludmilla,funk,0.85,0.85,135,0.92
Água na Boca,Anitta,funk,0.82,0.80,128,0.88
Esperando na Janela,Falamansa,forro,0.70,0.60,110,0.65
Anunciação,Alceu Valença,forro,0.62,0.40,95,0.50
Águas de Março,Elis Regina,mpb,0.55,0.20,72,0.30
Wave,Tom Jobim,bossa-nova,0.58,0.15,70,0.28
Que País É Esse,Legião Urbana,rock-nacional,0.30,0.85,145,0.45
Selvagem,CPM 22,rock-nacional,0.35,0.88,150,0.50
Índios,Legião Urbana,rock-nacional,0.45,0.55,110,0.35
